# Image manifest — extracted from Najd_Alanzi_Integrated_Company_Profile_2026.pptx
# Raster images were renamed by content; SVG icons (generic line icons) are in icons/ keeping their original numbering.
# Per the deck's speaker notes, files named visual-*.png and hero-architecture-night.png are AI-generated illustrations.
# Photos of partner projects (pentagram-*, unlimited-power-*, roya-*, mep-*) and certificates/registrations come from partner profiles.
# Duplicate media inside the pptx were de-duplicated by content hash; a 1px placeholder (image4.png) was skipped.
file	used on slide	shape name in pptx
hero-architecture-night.png	slide 1	صورة 10
logo-najd-alanzi-ar.jpeg	slide 1	صورة 14
visual-planning-bim.png	slide 2	صورة 25
icons/icon-5.svg	slide 2	رسم 27
icons/icon-6.svg	slide 2	رسم 30
icons/icon-7.svg	slide 2	رسم 33
logo-najd-alanzi-ar.jpeg	slide 4	صورة 15
icons/icon-6.svg	slide 4	رسم 25
visual-urban-development.png	slide 5	صورة 23
icons/icon-9.svg	slide 6	رسم 42
logo-najd-alanzi-ar.jpeg	slide 7	صورة 21
icons/icon-10.svg	slide 7	رسم 27
icons/icon-11.svg	slide 7	رسم 31
icons/icon-12.svg	slide 7	رسم 35
logo-najd-alanzi-ar.jpeg	slide 8	صورة 21
icons/icon-5.svg	slide 8	رسم 27
icons/icon-13.svg	slide 8	رسم 31
icons/icon-14.svg	slide 8	رسم 35
icons/icon-5.svg	slide 9	رسم 40
icons/icon-6.svg	slide 9	رسم 45
icons/icon-10.svg	slide 9	رسم 50
icons/icon-7.svg	slide 9	رسم 55
icons/icon-15.svg	slide 9	رسم 59
logo-najd-alanzi-ar.jpeg	slide 10	صورة 41
icons/icon-5.svg	slide 10	رسم 47
icons/icon-16.svg	slide 10	رسم 51
icons/icon-13.svg	slide 10	رسم 55
icons/icon-17.svg	slide 10	رسم 59
icons/icon-18.svg	slide 10	رسم 63
icons/icon-19.svg	slide 10	رسم 67
icons/icon-20.svg	slide 10	رسم 71
icons/icon-21.svg	slide 10	رسم 75
icons/icon-5.svg	slide 11	رسم 35
icons/icon-22.svg	slide 11	رسم 39
icons/icon-23.svg	slide 11	رسم 43
icons/icon-24.svg	slide 11	رسم 47
icons/icon-25.svg	slide 11	رسم 51
partnership-syrian-engineers-syndicate.png	slide 12	صورة 2
icons/icon-27.svg	slide 12	رسم 28
icons/icon-16.svg	slide 12	رسم 31
icons/icon-20.svg	slide 12	رسم 34
